n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
200,0.029027,7.64386,200,1528.77,40000,8e+06,1.04858e+06
400,0.116603,8.64386,400,3457.54,160000,6.4e+07,1.04858e+06
600,0.299404,9.22882,600,5537.29,360000,2.16e+08,1.04858e+06
800,0.430534,9.64386,800,7715.08,640000,5.12e+08,1.04858e+06
1000,0.605102,9.96578,1000,9965.78,1e+06,1e+09,1.04858e+06
1200,0.937658,10.2288,1200,12274.6,1.44e+06,1.728e+09,1.04858e+06
1400,1.00396,10.4512,1400,14631.7,1.96e+06,2.744e+09,1.04858e+06
1600,1.31822,10.6439,1600,17030.2,2.56e+06,4.096e+09,1.04858e+06
