n,tempo_ms,Ologn,On,Onlogn,On2,On3,O2n
354,4.2842e-05,8.46761,354,2997.53,125316,4.43619e+07,1.04858e+06
356,4.2658e-05,8.47573,356,3017.36,126736,4.5118e+07,1.04858e+06
358,4.2556e-05,8.48382,358,3037.21,128164,4.58827e+07,1.04858e+06
360,4.3076e-05,8.49185,360,3057.07,129600,4.6656e+07,1.04858e+06
362,4.3233e-05,8.49985,362,3076.94,131044,4.74379e+07,1.04858e+06
364,4.2997e-05,8.50779,364,3096.84,132496,4.82285e+07,1.04858e+06
366,4.3335e-05,8.5157,366,3116.75,133956,4.90279e+07,1.04858e+06
368,4.3128e-05,8.52356,368,3136.67,135424,4.9836e+07,1.04858e+06
370,4.3049e-05,8.53138,370,3156.61,136900,5.0653e+07,1.04858e+06
372,4.3183e-05,8.53916,372,3176.57,138384,5.14788e+07,1.04858e+06
374,4.3176e-05,8.54689,374,3196.54,139876,5.23136e+07,1.04858e+06
376,4.305e-05,8.55459,376,3216.53,141376,5.31574e+07,1.04858e+06
378,4.302e-05,8.56224,378,3236.53,142884,5.40102e+07,1.04858e+06
380,4.3275e-05,8.56986,380,3256.55,144400,5.4872e+07,1.04858e+06
382,6.4389e-05,8.57743,382,3276.58,145924,5.5743e+07,1.04858e+06
384,5.0614e-05,8.58496,384,3296.63,147456,5.66231e+07,1.04858e+06
386,4.703e-05,8.59246,386,3316.69,148996,5.75125e+07,1.04858e+06
388,4.6367e-05,8.59991,388,3336.77,150544,5.84111e+07,1.04858e+06
390,4.6357e-05,8.60733,390,3356.86,152100,5.9319e+07,1.04858e+06
392,4.7821e-05,8.61471,392,3376.97,153664,6.02363e+07,1.04858e+06
394,4.3084e-05,8.62205,394,3397.09,155236,6.1163e+07,1.04858e+06
396,4.2439e-05,8.62936,396,3417.23,156816,6.20991e+07,1.04858e+06
398,4.7608e-05,8.63662,398,3437.38,158404,6.30448e+07,1.04858e+06
400,4.343e-05,8.64386,400,3457.54,160000,6.4e+07,1.04858e+06
402,4.4588e-05,8.65105,402,3477.72,161604,6.49648e+07,1.04858e+06
404,4.4055e-05,8.65821,404,3497.92,163216,6.59393e+07,1.04858e+06
406,4.3907e-05,8.66534,406,3518.13,164836,6.69234e+07,1.04858e+06
408,4.3664e-05,8.67243,408,3538.35,166464,6.79173e+07,1.04858e+06
410,4.3938e-05,8.67948,410,3558.59,168100,6.8921e+07,1.04858e+06
412,4.3835e-05,8.6865,412,3578.84,169744,6.99345e+07,1.04858e+06
414,4.4187e-05,8.69349,414,3599.1,171396,7.09579e+07,1.04858e+06
416,4.7302e-05,8.70044,416,3619.38,173056,7.19913e+07,1.04858e+06
418,9.636e-05,8.70736,418,3639.68,174724,7.30346e+07,1.04858e+06
420,4.206e-05,8.71425,420,3659.98,176400,7.4088e+07,1.04858e+06
422,4.2093e-05,8.7211,422,3680.3,178084,7.51514e+07,1.04858e+06
424,9.9317e-05,8.72792,424,3700.64,179776,7.6225e+07,1.04858e+06
426,4.3333e-05,8.73471,426,3720.99,181476,7.73088e+07,1.04858e+06
428,4.2554e-05,8.74147,428,3741.35,183184,7.84028e+07,1.04858e+06
430,4.2666e-05,8.74819,430,3761.72,184900,7.9507e+07,1.04858e+06
432,4.3235e-05,8.75489,432,3782.11,186624,8.06216e+07,1.04858e+06
434,4.3163e-05,8.76155,434,3802.51,188356,8.17465e+07,1.04858e+06
436,4.2808e-05,8.76818,436,3822.93,190096,8.28819e+07,1.04858e+06
438,4.2964e-05,8.77479,438,3843.36,191844,8.40277e+07,1.04858e+06
